"","records","n.max","n.start","events","rmean","se(rmean)","median","0.95LCL","0.95UCL","median.ceiling"
"group=refclim.ADAPTATION",5,5,5,5,26.8,1.39713993572584,29,23,NA,29
"group=rcp45.ADAPTATION",20,20,20,20,29.45,2.70506469423561,24,22,NA,24
"group=rcp85.ADAPTATION",20,20,20,20,21.55,0.813864239293016,23,21,NA,23
"group=refclim.BAU",5,5,5,5,24.8,0.867179335547152,24,23,NA,24
"group=rcp45.BAU",20,20,20,20,37.75,2.34080648495342,38.5,28,NA,39
"group=rcp85.BAU",20,20,20,20,26.9,0.509411425078001,26.5,26,30,27
"group=refclim.BIOECONOMY",5,5,5,5,23,0,23,NA,NA,23
"group=rcp45.BIOECONOMY",20,20,20,20,32.45,2.80042407502864,26,23,NA,26
"group=rcp85.BIOECONOMY",20,20,20,20,22.25,0.802729717900116,24,23,NA,24
"group=refclim.CONSERVATION",5,5,5,5,32.4,1.0807404868885,34,30,NA,34
"group=rcp45.CONSERVATION",20,20,20,20,38.8,2.18700708732276,34.5,32,NA,35
"group=rcp85.CONSERVATION",20,20,20,20,26.25,0.85110222652746,26.5,25,29,27
"group=refclim.UNMANAGED",5,5,5,5,34.4,0.920869154657707,34,33,NA,34
"group=rcp45.UNMANAGED",20,20,20,20,38.8,2.25122189044083,38.5,32,NA,39
"group=rcp85.UNMANAGED",20,20,20,20,25.75,1.02682763889564,26.5,25,30,27
