"year","total_carbon_kg","volume_m3","model","mgm","rcp","windcase"
1,116674.908094199,300.41209301356,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
2,112053.875150838,288.427564314481,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
3,108548.064718755,279.006422937911,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
4,107234.544265541,274.669740500203,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
5,105469.018639811,269.426743565919,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
6,106531.005773921,269.898200277133,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
7,105292.548650476,266.612635796852,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
8,105889.328864017,268.206684572114,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
9,107220.112005121,271.123562997878,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
10,106705.142049085,268.726029711038,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
11,105901.249012197,266.167711740883,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
12,102493.778087445,256.635760422736,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
13,100481.263686894,251.100300139645,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
14,100873.796787295,251.720422316695,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
15,96525.4636455991,240.709309694902,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
16,95160.0846160854,235.675139302142,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
17,95858.9418418712,237.138561220455,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
18,97489.1435807152,241.490868980456,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
19,99719.5998677001,247.179762859795,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
20,96297.2097634499,237.400464934401,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
21,99625.5420570782,245.85549921335,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
22,94135.9197852152,231.084039535454,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
23,94372.3001111832,230.115630665858,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
24,94065.7394491254,228.475951951554,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
25,92866.5060718051,224.508371270229,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
26,94151.6040374626,228.03714875861,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
27,98273.2401664318,239.360152942253,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
28,99026.3846714926,238.967589038669,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
29,100062.626783165,242.112946390687,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
30,99147.7033268439,238.89051963316,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
31,100864.671378402,244.548116582128,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
32,100727.29995691,242.928505111118,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
33,103415.489573872,252.065604160179,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
34,101193.167673539,244.424010895762,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
35,94251.1950021684,228.894443243137,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
36,94986.5564953494,229.548531521492,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
37,99785.3639432112,243.448841253418,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
38,101194.746418558,244.079236875796,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
39,105354.114779886,257.106602035994,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
40,106964.095236591,259.286618011219,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
41,109266.013550569,264.538861551245,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
42,110739.500961597,268.452909966571,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
43,111966.59603714,271.370512814551,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
44,112329.384390126,271.798726482084,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
