"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
1,0.019170997107784,0,310.278827503739,0.019170997107784,0.00617863528169773,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
2,0.0441859280329441,0,300.41209301356,0.0441859280329441,0.0147084385284548,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
3,0.0939885752132273,0,288.427564314481,0.0939885752132273,0.0325865440207195,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
4,0.131246972654872,0,279.006422937911,0.131246972654872,0.0470408427422044,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
5,0.199093448949196,9.0097527212857,274.669740500203,9.20884617023489,3.35269773563866,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
6,0.42642804650051,0,269.426743565919,0.42642804650051,0.158272352943381,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
7,0.782598987693481,0,269.898200277133,0.782598987693481,0.289960802587755,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
8,1.43855592242824,0,266.612635796852,1.43855592242824,0.539567795850591,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
9,1.64148373608204,0,268.206684572114,1.64148373608204,0.612021933271646,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
10,1.08074282187189,0,271.123562997878,1.08074282187189,0.398616339325827,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
11,0.418631190397404,0,268.726029711038,0.418631190397404,0.155783639883178,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
12,0.227087877538358,0,266.167711740883,0.227087877538358,0.0853175901964512,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
13,0.239383278041098,0.720031656772543,256.635760422736,0.959414934813641,0.37384304246348,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
14,0.305811623878106,0,251.100300139645,0.305811623878106,0.121788633350113,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
15,0.323356565733025,0,251.720422316695,0.323356565733025,0.128458614027829,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
16,0.238674052296439,1.03726345694528,240.709309694902,1.27593750924172,0.530074017851227,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
17,0.36904585480142,0,235.675139302142,0.36904585480142,0.156590914041338,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
18,0.29947736826042,0.190617841637952,237.138561220455,0.490095209898372,0.206670398680017,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
19,0.372723623538764,0,241.490868980456,0.372723623538764,0.154342739794824,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
20,0.400030468079829,2.76150134400218,247.179762859795,3.16153181208201,1.27904152650041,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
21,0.268744906516973,0.12069956690327,237.400464934401,0.389444473420243,0.164045370984364,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
22,0.155733119198702,6.57491664960449,245.85549921335,6.73064976880319,2.73764458811736,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
23,0.426863665014174,0,231.084039535454,0.426863665014174,0.184722262027397,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
24,1.64908431713069,0,230.115630665858,1.64908431713069,0.716632899885561,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
25,1.62984843315826,0,228.475951951554,1.62984843315826,0.713356665870835,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
26,2.06866750175466,0,224.508371270229,2.06866750175466,0.92142109893297,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
27,0.738355163985479,0,228.03714875861,0.738355163985479,0.323787228530501,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
28,0.38466395435809,0,239.360152942253,0.38466395435809,0.160705092150778,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
29,0.287341969523801,0.281845865133058,238.967589038669,0.569187834656859,0.238186206316354,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
30,0.29258466820496,0,242.112946390687,0.29258466820496,0.120846353971022,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
31,0.20893623019034,0,238.89051963316,0.20893623019034,0.0874610807122784,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
32,0.171209319443548,0,244.548116582128,0.171209319443548,0.0700104837593584,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
33,0.155805187568434,0,242.928505111118,0.155805187568434,0.0641362311504643,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
34,0.118420885698166,1.09612724341212,252.065604160179,1.21454812911028,0.481838104471597,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
35,0.176078618693654,0,244.424010895762,0.176078618693654,0.0720381839936114,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
36,0.276207132768171,0,228.894443243137,0.276207132768171,0.120670090918187,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
37,0.221212551247284,0,229.548531521492,0.221212551247284,0.0963685325194825,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
38,0.29965099507354,0,243.448841253418,0.29965099507354,0.12308581693417,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
39,0.222420597039136,0,244.079236875796,0.222420597039136,0.0911263898912954,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
40,0.128235514210917,3.54125965842267,257.106602035994,3.66949517263359,1.42722712819326,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
41,0.111879532201334,0.0787986152692144,259.286618011219,0.190678147470549,0.0735395250757978,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
42,0.246395548595415,0,264.538861551245,0.246395548595415,0.0931415320798472,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
43,0.22544716984471,0,268.452909966571,0.22544716984471,0.0839801549824078,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
44,0.343857126145663,0,271.370512814551,0.343857126145663,0.126711307938106,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
45,0.252344673457704,0,271.798726482084,0.252344673457704,0.0928424782278506,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
46,0.365978118723406,0,280.245857682166,0.365978118723406,0.130591803122553,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
47,0.254493885655891,0.0499094815390591,276.53474887936,0.304403367194951,0.110077799780507,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
48,0.252325029321464,0,285.48429367299,0.252325029321464,0.0883849076511688,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
49,0.512872991773232,0,286.679317213321,0.512872991773232,0.178901288296148,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
50,0.743959414004131,72.7294222890002,281.430946726092,73.4733817030044,26.1070726434764,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
51,1.64885885220101,0,208.943046383972,1.64885885220101,0.789142726085713,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
52,4.50710284942428,0,219.169472048655,4.50710284942428,2.05644646003606,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
53,8.26048008657603,0.0778716296142346,218.037256755271,8.33835171619026,3.82427840098418,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
54,10.2896439770191,1.25961984926187,217.630059378439,11.549263826281,5.30683300793382,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
55,3.31102875598711,0.146722737618181,210.551061856352,3.45775149360529,1.64223892442981,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
56,0.401745318980463,0.123631185117651,208.788757301158,0.525376504098114,0.251630648550826,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
57,0.23797757901504,0,204.334753160326,0.23797757901504,0.116464563826946,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
58,0.159412731759489,0,210.570093765587,0.159412731759489,0.0757053050168426,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
