"year","total_carbon_kg","volume_m3","model","mgm","rcp","windcase"
1,116652.980516818,300.348264521404,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
2,112024.200506327,288.341063771954,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
3,108575.083006876,278.971958018725,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
4,107199.923382679,274.577837024593,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
5,104800.795771526,267.65873212618,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
6,106265.3674822,269.246851042515,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
7,105015.090555215,265.862769326301,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
8,105602.050929501,267.272911771683,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
9,106926.084736491,270.23079970464,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
10,106662.370158791,268.345971478367,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
11,106016.814999291,265.98437185489,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
12,102523.138386967,256.267207015332,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
13,100399.396423903,250.549532697947,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
14,100991.366594018,251.72901817833,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
15,96674.985617493,240.714399560587,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
16,95307.448923616,235.701936743882,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
17,95931.8047562961,236.972113986921,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
18,97524.9695854955,241.210887998528,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
19,99845.8955940043,246.946428758109,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
20,96418.9176457149,237.305050840721,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
21,99659.7505977253,245.393932174444,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
22,94107.9218620285,230.53230571565,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
23,94409.3814257127,229.73141129262,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
24,94203.2410412038,228.337327616074,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
25,93028.9825578341,224.53419212931,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
26,94314.2221186922,228.250817625192,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
27,98253.5237835368,239.085185312671,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
28,98879.7195526834,238.352766433477,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
29,99916.9662809355,241.606976552968,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
30,99050.2651801808,238.524553393744,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
31,100836.031532289,244.320870611296,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
32,100806.132752196,242.885814353213,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
33,103611.890036624,252.16960281769,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
34,101365.816291548,244.396524923224,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
35,94461.4052842084,229.115082365789,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
36,95323.868051112,230.07640790735,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
37,100133.666085677,244.133643029174,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
38,101630.139200465,244.896838989564,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
39,105876.186305099,258.147867233929,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
40,107541.981209265,260.556109997137,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
41,109692.710640387,265.385877281481,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
42,111062.364475021,269.063373919005,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
43,112261.88103167,271.918901361726,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
44,112532.074148009,272.224685851895,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
45,115207.184908474,280.661905601163,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
46,114564.433432182,276.941091841565,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
47,117209.75325636,285.839340490691,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
48,118091.44964089,286.957232319621,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
49,116192.043539279,281.475382675108,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
50,116209.33832804,281.591003334406,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
51,117931.40027578,286.920620025449,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
