"year","barkbeetle","wind","landscape_volume_yearstart","impact","relimpact","model","mgm","rcp","windcase"
1,0.0174731370490093,0,310.278827503739,0.0174731370490093,0.00563143066821043,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
2,0.0390494878606167,0,300.348264521404,0.0390494878606167,0.0130014028623874,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
3,0.0751597530433334,0,288.341063771954,0.0751597530433334,0.026066267516713,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
4,0.103391454747922,0,278.971958018725,0.103391454747922,0.03706159410509,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
5,0.269698104103204,10.6383488498185,274.577837024593,10.9080469539217,3.97266111210014,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
6,0.614686405875001,0,267.65873212618,0.614686405875001,0.22965303653356,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
7,0.922613716073178,0,269.246851042515,0.922613716073178,0.34266462634599,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
8,1.71618094536149,0,265.862769326301,1.71618094536149,0.645513830202818,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
9,2.03627929118939,0,267.272911771683,2.03627929118939,0.761872678264108,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
10,0.923529921787165,0,270.23079970464,0.923529921787165,0.341755981478268,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
11,0.173251757767969,0,268.345971478367,0.173251757767969,0.0645628316361499,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
12,0.241137302820892,0,265.98437185489,0.241137302820892,0.0906584477649107,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
13,0.148279169420637,1.08143536709002,256.267207015332,1.22971453651066,0.479856377580563,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
14,0.126935185793821,0,250.549532697947,0.126935185793821,0.0506627110523686,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
15,0.193817714306195,0,251.72901817833,0.193817714306195,0.076994585570143,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
16,0.242280189815546,0.876441049654678,240.714399560587,1.11872123947022,0.464750443476751,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
17,0.432825756922185,0,235.701936743882,0.432825756922185,0.183632668828046,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
18,0.332169040858322,0.263159190248442,236.972113986921,0.595328231106764,0.251222905974338,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
19,0.378014154298513,0,241.210887998528,0.378014154298513,0.156715211918966,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
20,0.321940259282702,2.68687190353088,246.946428758109,3.00881216281358,1.21840683339495,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
21,0.360804673084503,0.215180980883257,237.305050840721,0.57598565396776,0.242719508888313,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
22,0.233732191852821,6.67295783777022,245.393932174444,6.90669002962304,2.81453170761909,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
23,0.458835700528294,0,230.53230571565,0.458835700528294,0.199033145963605,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
24,1.3386588782345,0,229.73141129262,1.3386588782345,0.582706069972027,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
25,1.14018351279717,0,228.337327616074,1.14018351279717,0.499341708471896,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
26,1.2359331052843,0,224.53419212931,1.2359331052843,0.550443161268072,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
27,0.350121562895332,0,228.250817625192,0.350121562895332,0.153393344452445,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
28,0.325199980106813,0,239.085185312671,0.325199980106813,0.136018457053925,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
29,0.182014772206879,0.14074399070667,238.352766433477,0.322758762913549,0.135412215995248,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
30,0.21374296041336,0,241.606976552968,0.21374296041336,0.0884672137629685,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
31,0.207825383041507,0,238.524553393744,0.207825383041507,0.0871295554627615,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
32,0.20089000443169,0,244.320870611296,0.20089000443169,0.0822238411025057,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
33,0.259952694222789,0,242.885814353213,0.259952694222789,0.107026709202851,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
34,0.215904485327702,1.39920215038042,252.16960281769,1.61510663570812,0.64048426838971,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
35,0.216684534196853,0,244.396524923224,0.216684534196853,0.0886610536974387,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
36,0.196119731450284,0,229.115082365789,0.196119731450284,0.0855987870484983,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
37,0.166788828787223,0,230.07640790735,0.166788828787223,0.0724927993722796,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
38,0.26465358911058,0,244.133643029174,0.26465358911058,0.10840521028843,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
