"year","total_carbon_kg","volume_m3","TC_49","VOL_49","Perc_Diff_TC","Perc_Diff_VOL","recovery_year_total_carbon","recovery_year_volume","year_after_impact","model","mgm","rcp","windcase"
49,116192.043539279,281.475382675108,116192.043539279,281.475382675108,0,0,51,51,0,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
50,116209.33832804,281.591003334406,116192.043539279,281.475382675108,0.0148846583931287,0.0410766505402404,51,51,1,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
51,117931.40027578,286.920620025449,116192.043539279,281.475382675108,1.49696716188081,1.93453413175598,51,51,2,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
52,118712.305788961,287.844557473451,116192.043539279,281.475382675108,2.16904890637351,2.26278217931909,51,51,3,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
53,120023.93091576,291.547506840265,116192.043539279,281.475382675108,3.29789136997648,3.57833216867227,51,51,4,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
54,118016.222727639,285.674731693789,116192.043539279,281.475382675108,1.5699691070008,1.49190631833263,51,51,5,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
55,115551.104365564,278.671115305736,116192.043539279,281.475382675108,-0.551620536304529,-0.996274467315796,51,51,6,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
56,110814.079083009,266.500295035312,116192.043539279,281.475382675108,-4.62851353023316,-5.32021219670254,51,51,7,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
57,113272.922205297,273.294088003707,116192.043539279,281.475382675108,-2.51232463520246,-2.90657555685572,51,51,8,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
58,112891.987510091,270.29126429556,116192.043539279,281.475382675108,-2.84017384380761,-3.97339130450965,51,51,9,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
59,111540.864764303,267.025864593676,116192.043539279,281.475382675108,-4.00300970126556,-5.13349265008731,51,51,10,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
60,107408.887786033,256.420851030366,116192.043539279,281.475382675108,-7.55917142491506,-8.90114489111867,51,51,11,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
61,108397.79197624,258.024158399981,116192.043539279,281.475382675108,-6.70807684039431,-8.33153651031556,51,51,12,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
62,110027.903056254,261.215922398873,116192.043539279,281.475382675108,-5.30513131128572,-7.19759578393379,51,51,13,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
63,113841.050541175,271.905153161557,116192.043539279,281.475382675108,-2.02336831894121,-3.40002362643458,51,51,14,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
64,118287.907759062,282.666265895804,116192.043539279,281.475382675108,1.80379323397901,0.423086100595299,51,51,15,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
65,119515.373869471,283.413594424246,116192.043539279,281.475382675108,2.86020473430146,0.688590146220717,51,51,16,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
66,121163.158011644,287.709887765002,116192.043539279,281.475382675108,4.27836048058161,2.2149379567911,51,51,17,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
67,122461.913122521,290.59882374145,116192.043539279,281.475382675108,5.39612644055305,3.24129271257541,51,51,18,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
68,124857.497596665,297.23516681915,116192.043539279,281.475382675108,7.45787215150986,5.59899199505942,51,51,19,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
69,123621.177060102,292.484692844279,116192.043539279,281.475382675108,6.39384014130995,3.91128704206376,51,51,20,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
70,125645.524750779,298.923501301185,116192.043539279,281.475382675108,8.13608309445402,6.19880803083095,51,51,21,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
71,122998.589362927,290.463671840152,116192.043539279,281.475382675108,5.85801369553068,3.19327718098112,51,51,22,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
72,129070.61789268,306.235271656487,116192.043539279,281.475382675108,11.0838693951081,8.79646694004428,51,51,23,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
73,126607.178199282,297.941528876178,116192.043539279,281.475382675108,8.9637244881417,5.84994184733953,51,51,24,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
74,127598.715877578,301.165525677742,116192.043539279,281.475382675108,9.81708556872298,6.99533394910101,51,51,25,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
75,128702.987836646,303.697533128982,116192.043539279,281.475382675108,10.7674707460822,7.89488240238881,51,51,26,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
76,128555.353453504,302.671794772918,116192.043539279,281.475382675108,10.6404100811303,7.5304674591297,51,51,27,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
77,117485.415122459,277.01928389042,116192.043539279,281.475382675108,1.11313265847023,-1.58312202734657,51,51,28,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
78,119657.246623658,281.122017614419,116192.043539279,281.475382675108,2.98230668712484,-0.125540307408369,51,51,29,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
79,122009.06832169,286.804686391894,116192.043539279,281.475382675108,5.00638822179266,1.89334629058388,51,51,30,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
80,122837.683802022,287.628619917782,116192.043539279,281.475382675108,5.71953126936477,2.18606585918609,51,51,31,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
81,124727.287318814,293.083152558791,116192.043539279,281.475382675108,7.34580744046392,4.12390233680988,51,51,32,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
82,126705.108285287,297.613738157799,116192.043539279,281.475382675108,9.04800744162308,5.73348735840203,51,51,33,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
83,128631.244902057,302.414031950503,116192.043539279,281.475382675108,10.7057256106981,7.43889184069889,51,51,34,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
84,129060.092964267,302.517815656116,116192.043539279,281.475382675108,11.0748111772711,7.4757631665772,51,51,35,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
85,131505.324038914,309.987189349191,116192.043539279,281.475382675108,13.1792849434295,10.129413948428,51,51,36,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
86,134502.51177064,317.250851737064,116192.043539279,281.475382675108,15.7587969654486,12.7099814988969,51,51,37,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
87,136239.275861437,321.057402171677,116192.043539279,281.475382675108,17.2535327820285,14.0623379282359,51,51,38,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
88,138601.396521289,327.572097442498,116192.043539279,281.475382675108,19.2864780577115,16.3768192903026,51,51,39,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
89,136868.550195058,322.375604654212,116192.043539279,281.475382675108,17.7951140422016,14.5306568519041,51,51,40,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
90,131767.711831658,308.879303081968,116192.043539279,281.475382675108,13.4051074565307,9.73581424649512,51,51,41,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
91,136647.813870268,320.962949416546,116192.043539279,281.475382675108,17.6051386204203,14.028781617118,51,51,42,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
92,138507.350662291,325.963315971289,116192.043539279,281.475382675108,19.2055380413966,15.8052661207432,51,51,43,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
93,141120.147425244,332.659741156939,116192.043539279,281.475382675108,21.4542262332602,18.1843108251176,51,51,44,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
94,137647.629153097,322.148925122118,116192.043539279,281.475382675108,18.4656237727369,14.4501242206171,51,51,45,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
95,133679.215523293,312.055084343836,116192.043539279,281.475382675108,15.0502318845116,10.8640767722214,51,51,46,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
96,124978.208740755,290.325752619736,116192.043539279,281.475382675108,7.56176148886258,3.14427850155682,51,51,47,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
97,125352.262287119,290.650298895749,116192.043539279,281.475382675108,7.88368847712314,3.25958033467941,51,51,48,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
98,125618.660057265,291.005477554462,116192.043539279,281.475382675108,8.11296215372891,3.38576496060912,51,51,49,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
99,124954.998434491,288.885216875396,116192.043539279,281.475382675108,7.54178567506652,2.63249813531309,51,51,50,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
100,119082.37267265,274.004026192699,116192.043539279,281.475382675108,2.48754479681219,-2.65435520911363,51,51,51,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp45","w5"
49,124214.428048431,307.42046049485,124214.428048431,307.42046049485,0,0,51,51,0,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
50,125421.439979971,308.655819613619,124214.428048431,307.42046049485,0.971716370234006,0.401846746563583,51,51,1,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
51,127778.951769785,315.471596328581,124214.428048431,307.42046049485,2.86965353168458,2.6189329821351,51,51,2,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
52,131241.245940863,324.903873014184,124214.428048431,307.42046049485,5.65700619713166,5.68713367067101,51,51,3,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
53,134293.233371389,332.49017257781,124214.428048431,307.42046049485,8.11403754081409,8.15486127455737,51,51,4,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
54,132603.488802465,326.915262083198,124214.428048431,307.42046049485,6.75369269563627,6.34141317626291,51,51,5,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
55,134123.811329492,330.813377311965,124214.428048431,307.42046049485,7.97764272375574,7.60942091474979,51,51,6,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
56,135556.522553444,334.56209201107,124214.428048431,307.42046049485,9.13106044379205,8.82883054450278,51,51,7,"EC-EARTH_RACMO22E-r1","ADAPTATION","rcp85","w5"
