"","mgm","model","windcase","rcp","wind.damaged.vol","landscape_volume_yearstart","rt","impact","auc","norm.auc","one.minus.norm.auc"
"1","ADAPTATION","EC-EARTH_RACMO22E-r1","w5","rcp45",75.5678886661088,281.430946726092,23,26.851307414908,-410.072093321886,0.0820144186643772,0.917985581335623
"2","ADAPTATION","EC-EARTH_RACMO22E-r1","w5","rcp85",83.5756337456853,309.36221561431,25,27.0154626284036,-403.344523339786,0.0806689046679572,0.919331095332043
"3","ADAPTATION","EC-EARTH_RACMO22E-r1","w6","rcp45",72.1885481144272,275.324186953296,22,26.2194720025352,-369.989887894788,0.0739979775789577,0.926002022421042
"4","ADAPTATION","EC-EARTH_RACMO22E-r1","w6","rcp85",81.9272455718954,301.973769398506,25,27.1305834725593,-402.805555996651,0.0805611111993302,0.91943888880067
"5","ADAPTATION","EC-EARTH_RACMO22E-r1","w7","rcp45",72.3529406852443,280.053934772796,23,25.8353594438669,-396.515446631929,0.0793030893263857,0.920696910673614
"6","ADAPTATION","EC-EARTH_RACMO22E-r1","w7","rcp85",79.6609035218639,307.938172606809,25,25.8691226383223,-409.64900262751,0.0819298005255019,0.918070199474498
"7","ADAPTATION","EC-EARTH_RACMO22E-r1","w8","rcp45",71.3902458881228,276.535005530374,23,25.8159887393647,-407.103629141364,0.0814207258282728,0.918579274171727
"8","ADAPTATION","EC-EARTH_RACMO22E-r1","w8","rcp85",80.5514507747076,303.995043467075,25,26.4976197822225,-379.941003857712,0.0759882007715424,0.924011799228458
"9","ADAPTATION","EC-EARTH_RACMO22E-r1","w9","rcp45",73.674076083597,271.108902937811,22,27.1750854675905,-382.200747052454,0.0764401494104908,0.923559850589509
"10","ADAPTATION","EC-EARTH_RACMO22E-r1","w9","rcp85",84.0228828875451,295.43448061913,22,28.4404456485451,-383.302234383536,0.0766604468767072,0.923339553123293
"11","ADAPTATION","HadGEM2_CCLM","w5","rcp45",65.3879349515358,229.219182427409,20,28.5263799735624,-346.785348341322,0.0693570696682645,0.930642930331736
"12","ADAPTATION","HadGEM2_CCLM","w5","rcp85",69.4220089786544,229.570435675135,16,30.2399604611517,-240.902853279555,0.0481805706559111,0.951819429344089
"13","ADAPTATION","HadGEM2_CCLM","w6","rcp45",62.1765814772551,224.437945659329,20,27.7032394386785,-338.236961851486,0.0676473923702973,0.932352607629703
"14","ADAPTATION","HadGEM2_CCLM","w6","rcp85",64.9488168854589,219.100365852131,15,29.6434086875475,-225.535449494376,0.0451070898988753,0.954892910101125
"15","ADAPTATION","HadGEM2_CCLM","w7","rcp45",59.9818684260855,229.080201443931,20,26.1837854375933,-340.811912493127,0.0681623824986253,0.931837617501375
"16","ADAPTATION","HadGEM2_CCLM","w7","rcp85",66.1296767668209,229.264872715005,16,28.8442254514173,-244.325344802494,0.0488650689604988,0.951134931039501
"17","ADAPTATION","HadGEM2_CCLM","w8","rcp45",62.0066701531121,228.406909177925,20,27.1474581816656,-348.992656991898,0.0697985313983795,0.93020146860162
"18","ADAPTATION","HadGEM2_CCLM","w8","rcp85",69.2543710168795,229.305236054457,17,30.2018271403242,-252.526899736141,0.0505053799472281,0.949494620052772
"19","ADAPTATION","HadGEM2_CCLM","w9","rcp45",63.6719639243915,220.649527875186,17,28.8566055579365,-327.791000017051,0.0655582000034103,0.93444179999659
"20","ADAPTATION","HadGEM2_CCLM","w9","rcp85",67.7130945277768,221.167111995052,15,30.61625841065,-235.976527623765,0.0471953055247529,0.952804694475247
"21","ADAPTATION","MPI_CCLM","w5","rcp45",76.1047918035877,255.715618724727,26,29.7614952825831,-363.635158600399,0.0727270317200798,0.92727296827992
"22","ADAPTATION","MPI_CCLM","w5","rcp85",69.6943087940072,250.10898876254,25,27.8655753792907,-351.770063378922,0.0703540126757845,0.929645987324216
"23","ADAPTATION","MPI_CCLM","w6","rcp45",71.4067520273437,251.679711586808,26,28.3720732104838,-328.139212517147,0.0656278425034295,0.934372157496571
"24","ADAPTATION","MPI_CCLM","w6","rcp85",68.5808043076815,243.365928775783,24,28.1801173453767,-342.973305966081,0.0685946611932161,0.931405338806784
"25","ADAPTATION","MPI_CCLM","w7","rcp45",71.8032987959315,256.298770039251,26,28.0154675673766,-367.232669570169,0.0734465339140339,0.926553466085966
"26","ADAPTATION","MPI_CCLM","w7","rcp85",65.3432119140944,249.29614723395,24,26.2110797295129,-344.278417968842,0.0688556835937685,0.931144316406232
"27","ADAPTATION","MPI_CCLM","w8","rcp45",75.058990883811,255.691909213717,26,29.3552467556077,-387.199027198315,0.077439805439663,0.922560194560337
"28","ADAPTATION","MPI_CCLM","w8","rcp85",69.7034274684303,247.936038168428,25,28.1134715160203,-368.797553396275,0.073759510679255,0.926240489320745
"29","ADAPTATION","MPI_CCLM","w9","rcp45",73.7980169921128,250.294105417602,25,29.4845205679075,-326.669100683037,0.0653338201366075,0.934666179863393
"30","ADAPTATION","MPI_CCLM","w9","rcp85",69.7807156998618,239.48687508552,24,29.1375949829999,-334.94441712896,0.0669888834257921,0.933011116574208
"31","ADAPTATION","NCC_HIRHAM5","w5","rcp45",76.9535955498132,292.097358253843,50,26.3451871012602,-1047.65030643726,0.209530061287452,0.790469938712548
"32","ADAPTATION","NCC_HIRHAM5","w5","rcp85",71.6896839840447,272.829965642063,23,26.2763233559533,-407.123700090267,0.0814247400180534,0.918575259981947
"33","ADAPTATION","NCC_HIRHAM5","w6","rcp45",74.3605628406074,287.634479724368,50,25.8524509689746,-990.264050041311,0.198052810008262,0.801947189991738
"34","ADAPTATION","NCC_HIRHAM5","w6","rcp85",67.9064043608824,267.089851972093,21,25.4245542687177,-369.997536808453,0.0739995073616905,0.92600049263831
"35","ADAPTATION","NCC_HIRHAM5","w7","rcp45",73.0749376339351,293.514704400656,50,24.8965167803606,-1068.85225556299,0.213770451112598,0.786229548887402
"36","ADAPTATION","NCC_HIRHAM5","w7","rcp85",66.0670563688584,271.257187341825,21,24.3558731166831,-367.3325785051,0.07346651570102,0.92653348429898
"37","ADAPTATION","NCC_HIRHAM5","w8","rcp45",75.2166856911886,288.57678496272,50,26.0647043042307,-1021.4534471451,0.204290689429019,0.795709310570981
"38","ADAPTATION","NCC_HIRHAM5","w8","rcp85",68.2852735488478,269.49149192645,23,25.3385637745789,-389.295446465284,0.0778590892930568,0.922140910706943
"39","ADAPTATION","NCC_HIRHAM5","w9","rcp45",75.4854753158442,280.569355159037,50,26.904390635626,-1000.67155254875,0.200134310509749,0.799865689490251
"40","ADAPTATION","NCC_HIRHAM5","w9","rcp85",67.3380341799397,263.526084435785,20,25.5527016705431,-350.847044772935,0.070169408954587,0.929830591045413
"41","ADAPTATION","refclim","w5","-",79.1901469082499,277.017192846634,30,28.5867263668693,-356.799639745105,0.071359927949021,0.928640072050979
"42","ADAPTATION","refclim","w6","-",76.8948158461353,272.440372377178,23,28.2244570344658,-314.904001205438,0.0629808002410877,0.937019199758912
"43","ADAPTATION","refclim","w7","-",77.057254301732,276.421748199775,29,27.8766974029993,-341.532456649012,0.0683064913298024,0.931693508670198
"44","ADAPTATION","refclim","w8","-",76.7104064896119,273.4376712246,29,28.0540739489412,-340.718995677916,0.0681437991355832,0.931856200864417
"45","ADAPTATION","refclim","w9","-",80.786701154812,266.936832636688,23,30.264351441064,-337.385761421035,0.0674771522842071,0.932522847715793
"46","BAU","EC-EARTH_RACMO22E-r1","w5","rcp45",91.6591894420534,292.21841962608,26,31.3666707113602,-508.29932313933,0.101659864627866,0.898340135372134
"47","BAU","EC-EARTH_RACMO22E-r1","w5","rcp85",98.2079387099054,323.250630865731,27,30.3813602611956,-597.654549998045,0.119530909999609,0.880469090000391
"48","BAU","EC-EARTH_RACMO22E-r1","w6","rcp45",90.2880533785126,286.495611656139,25,31.5146374691697,-526.441960746999,0.1052883921494,0.8947116078506
"49","BAU","EC-EARTH_RACMO22E-r1","w6","rcp85",96.4045953211065,316.470908615496,26,30.4623877571747,-572.089564662653,0.114417912932531,0.885582087067469
"50","BAU","EC-EARTH_RACMO22E-r1","w7","rcp45",90.7335910153223,291.341822550447,25,31.1433457170782,-533.639979721247,0.106727995944249,0.893272004055751
"51","BAU","EC-EARTH_RACMO22E-r1","w7","rcp85",98.7546739367194,323.299827704218,26,30.5458479944099,-576.873504381955,0.115374700876391,0.884625299123609
"52","BAU","EC-EARTH_RACMO22E-r1","w8","rcp45",90.8525603212178,293.69977827798,32,30.933819853016,-600.690301110147,0.120138060222029,0.879861939777971
"53","BAU","EC-EARTH_RACMO22E-r1","w8","rcp85",97.0272561320612,320.839923574028,27,30.2416404577138,-585.749106533866,0.117149821306773,0.882850178693227
"54","BAU","EC-EARTH_RACMO22E-r1","w9","rcp45",94.1899531789786,278.417215521201,23,33.8305061354247,-525.341737781888,0.105068347556378,0.894931652443622
"55","BAU","EC-EARTH_RACMO22E-r1","w9","rcp85",102.271949061516,306.177371228352,25,33.4028437997268,-544.482669991843,0.108896533998369,0.891103466001631
"56","BAU","HadGEM2_CCLM","w5","rcp45",77.9596846785943,242.601409537598,46,32.1348852948491,-766.756081808804,0.153351216361761,0.846648783638239
"57","BAU","HadGEM2_CCLM","w5","rcp85",82.203705345447,235.644224917398,31,34.8846679243942,-603.824048358233,0.120764809671647,0.879235190328353
"58","BAU","HadGEM2_CCLM","w6","rcp45",74.7859325743344,233.742667543114,44,31.994985494268,-698.560014492427,0.139712002898485,0.860287997101515
"59","BAU","HadGEM2_CCLM","w6","rcp85",81.2181621490822,220.13279521098,30,36.8950760250153,-513.369478785388,0.102673895757078,0.897326104242922
"60","BAU","HadGEM2_CCLM","w7","rcp45",73.6902274645736,240.826784371089,46,30.5988503965674,-709.681370709113,0.141936274141823,0.858063725858177
"61","BAU","HadGEM2_CCLM","w7","rcp85",82.1711120442992,233.380485160996,30,35.2090758520851,-595.297413270788,0.119059482654158,0.880940517345842
"62","BAU","HadGEM2_CCLM","w8","rcp45",77.0428827213989,244.357527431961,46,31.528753597677,-822.936925651457,0.164587385130291,0.835412614869709
"63","BAU","HadGEM2_CCLM","w8","rcp85",83.3240954419735,232.286700687768,31,35.8712294742931,-590.140904039807,0.118028180807961,0.881971819192039
"64","BAU","HadGEM2_CCLM","w9","rcp45",79.924648810554,226.952489901958,46,35.2164670434244,-665.753644953984,0.133150728990797,0.866849271009203
"65","BAU","HadGEM2_CCLM","w9","rcp85",79.734936819636,224.276640920274,30,35.5520470132154,-513.265919678067,0.102653183935613,0.897346816064387
"66","BAU","MPI_CCLM","w5","rcp45",91.7630948634847,276.807829255428,33,33.1504694467327,-564.483818367443,0.112896763673489,0.887103236326511
"67","BAU","MPI_CCLM","w5","rcp85",87.885454082157,267.715662669325,26,32.8279089859269,-548.404563474204,0.109680912694841,0.890319087305159
"68","BAU","MPI_CCLM","w6","rcp45",89.5329076853687,266.110829828438,26,33.6449695576428,-511.215993112129,0.102243198622426,0.897756801377574
"69","BAU","MPI_CCLM","w6","rcp85",86.1928751921002,260.021268122086,25,33.1483942888974,-575.488172940866,0.115097634588173,0.884902365411827
"70","BAU","MPI_CCLM","w7","rcp45",88.8679556684219,274.23169636636,28,32.4061575835124,-534.682730629028,0.106936546125806,0.893063453874194
"71","BAU","MPI_CCLM","w7","rcp85",85.1465246096299,268.602798880792,25,31.699790532495,-564.741810931955,0.112948362186391,0.887051637813609
"72","BAU","MPI_CCLM","w8","rcp45",91.5450138163896,274.643145678215,33,33.33234972616,-584.055722731052,0.11681114454621,0.88318885545379
"73","BAU","MPI_CCLM","w8","rcp85",85.9575568217427,269.049038842597,27,31.9486578326083,-576.23923669714,0.115247847339428,0.884752152660572
"74","BAU","MPI_CCLM","w9","rcp45",93.2586109825612,263.90761101819,26,35.3375981172947,-507.13322270342,0.101426644540684,0.898573355459316
"75","BAU","MPI_CCLM","w9","rcp85",90.4778534865943,254.5490998532,25,35.5443619870483,-550.555579075157,0.110111115815031,0.889888884184969
"76","BAU","NCC_HIRHAM5","w5","rcp45",92.9306017454725,306.137982231973,50,30.3557895913272,-1065.35709184756,0.213071418369513,0.786928581630487
"77","BAU","NCC_HIRHAM5","w5","rcp85",87.7377605929342,285.430212096969,27,30.738778473502,-612.114250165717,0.122422850033143,0.877577149966857
"78","BAU","NCC_HIRHAM5","w6","rcp45",91.6768399248836,291.697756566406,50,31.4287092928029,-945.451497979648,0.18909029959593,0.81090970040407
"79","BAU","NCC_HIRHAM5","w6","rcp85",83.8474211248294,268.273537392044,23,31.2544509383712,-531.314650803797,0.106262930160759,0.893737069839241
"80","BAU","NCC_HIRHAM5","w7","rcp45",90.0246960535037,302.752314804647,50,29.7354278237617,-1025.65062186414,0.205130124372827,0.794869875627173
"81","BAU","NCC_HIRHAM5","w7","rcp85",85.7714360909757,282.919864210982,26,30.3165125326843,-572.956403115529,0.114591280623106,0.885408719376894
"82","BAU","NCC_HIRHAM5","w8","rcp45",93.0253828716844,304.727620017317,50,30.5273879887875,-1016.66640910373,0.203333281820746,0.796666718179253
"83","BAU","NCC_HIRHAM5","w8","rcp85",86.1113868950058,285.704841125913,27,30.1399817222753,-601.889691940685,0.120377938388137,0.879622061611863
"84","BAU","NCC_HIRHAM5","w9","rcp45",93.533456034734,292.003019091771,50,32.0316743044832,-1036.19723660724,0.207239447321448,0.792760552678552
"85","BAU","NCC_HIRHAM5","w9","rcp85",88.7053034629231,269.24243768227,24,32.9462562538537,-557.647777576852,0.11152955551537,0.88847044448463
"86","BAU","refclim","w5","-",91.480242036931,293.776131580134,26,31.1394399350574,-371.446922534065,0.074289384506813,0.925710615493187
"87","BAU","refclim","w6","-",92.1725600002258,279.840067112078,23,32.9375850111235,-372.056050139538,0.0744112100279076,0.925588789972092
"88","BAU","refclim","w7","-",92.3255135161078,289.657504767656,24,31.8740277729608,-393.626222429397,0.0787252444858794,0.921274755514121
"89","BAU","refclim","w8","-",90.8158244058997,292.330936095675,28,31.0661011861493,-396.874615585415,0.0793749231170831,0.920625076882917
"90","BAU","refclim","w9","-",96.2078295232753,278.674142322007,23,34.5234145951394,-397.714608916815,0.079542921783363,0.920457078216637
"91","BIOECONOMY","EC-EARTH_RACMO22E-r1","w5","rcp45",67.1491573262062,284.041900982102,23,23.6405815811088,-408.045174675706,0.0816090349351412,0.918390965064859
