mgm,rcp,score,res,dist
UNMANAGED,refclim,0.716607687142014,0.867565166471973,0.31281014708381
BAU,refclim,0.671276469517486,0.922731263215791,0.337682716728464
BIOECONOMY,refclim,0.666064868226598,0.944132067421858,0.338576281099363
ADAPTATION,refclim,0.662530080110618,0.93234636581206,0.344184486938301
CONSERVATION,refclim,0.675090030087913,0.873396416089071,0.348704683087803
UNMANAGED,rcp45,0.675675225917366,0.842961243680547,0.360343905276768
ADAPTATION,rcp45,0.6470332332415,0.894297335359582,0.368454327899719
BIOECONOMY,rcp45,0.647278692007507,0.888625790098934,0.369887193267112
BAU,rcp45,0.650481156708213,0.858510043149392,0.377071385424054
CONSERVATION,rcp45,0.653291982966365,0.84278618673943,0.380687052781316
UNMANAGED,rcp85,0.671128614687316,0.883592880955152,0.348865311319147
ADAPTATION,rcp85,0.64996786286848,0.931943305403774,0.356586890819367
BIOECONOMY,rcp85,0.64780035359768,0.921918294653547,0.360751082653579
CONSERVATION,rcp85,0.653325413139375,0.885994617766884,0.364939031008063
BAU,rcp85,0.64895050224479,0.886159007035775,0.369046774207913
