"rcp","model","mgm","windcase","nat.mortality.volperha","impact","NEP","standing.volume.decidious","BA.decidious","deadwood.c.ag","carbonstock","shannon_BA_landscape","shannon_VOL_landscape","annual.harvest","annual.increment","standing.volume","LAI"
"-","refclim","ADAPTATION","w5",3.22477654194129,0.684033847332179,10.6636102582194,63.579209360554,7.52850858819798,17047.0937349445,304291.350662534,1.90655599585266,1.70399226266676,7.73030261017419,882.047545134643,287.445232740623,3.36191766096481
"-","refclim","ADAPTATION","w6",3.15466740037763,1.02249779233173,-48.9298138399104,62.7406471550094,7.45379800542271,17096.379828248,302018.505346235,1.90912029644901,1.70816933295769,7.82512610517213,882.203962358026,281.97212339166,3.32310925705292
"-","refclim","ADAPTATION","w7",3.22689053008012,0.74590039526584,-51.9341540389397,63.4750358870569,7.53302532442912,17185.0757945607,304135.81329272,1.90654990946529,1.70415917329274,7.78438181138936,883.323712583729,286.832482906063,3.3587437830435
"-","refclim","ADAPTATION","w8",3.18921447198755,0.802720219865611,76.3604055477897,62.3395972025821,7.43101496469108,16856.2613544938,301802.921641123,1.92414656724336,1.72300902925954,7.68343552192556,881.126528405423,282.446886394708,3.33353015274767
"-","refclim","ADAPTATION","w9",3.13790312803967,0.943881728107978,-72.0783902918933,63.2177886225535,7.50625246681662,17108.3502061778,302231.632546248,1.90919236385548,1.70968856443182,7.80569201022566,880.402122620778,281.379655702034,3.32932427511623
"-","refclim","BAU","w5",3.14261457300003,0.892371816081747,251.418926424646,52.5533926679872,5.64826427892596,16750.2070647719,305772.819016682,1.49383466319878,1.34263239929032,7.74742999492721,886.250657875273,307.772609796892,3.49387570547377
"-","refclim","BAU","w6",3.04629300849119,1.36079451925193,156.861309898626,52.819536452607,5.67285120039862,16770.9168105329,302429.302047338,1.50596698295633,1.35998612115887,7.78128045722156,884.966497367019,298.623834722237,3.43777015234392
"-","refclim","BAU","w7",3.12085275793313,0.995561652491333,157.32195479729,52.7069097967367,5.67127399678551,16873.0841832431,305680.461913901,1.48954223927966,1.34489524347013,7.83430906342917,886.86973484029,305.598632718148,3.5018888024283
"-","refclim","BAU","w8",3.12280350711739,1.06235745464596,299.617391707251,52.8484422259137,5.66967087983141,16565.4795390043,304458.09575854,1.50454179376946,1.36162230813888,7.80244331949754,883.59025140831,303.659947838808,3.50738050083816
"-","refclim","BAU","w9",3.06944163039942,1.27258821014969,120.238072940449,53.0356883389537,5.69457692435385,16842.8573429079,303396.01518969,1.50447640027522,1.36001898223038,7.7891570579028,883.205076108237,299.769988727651,3.45553372509385
"-","refclim","BIOECONOMY","w5",3.18596125550595,0.413082363918429,284.997320270955,50.2900555862705,5.81987109648159,16218.255057627,303227.168732333,1.44745142926303,1.29509185880245,7.5982960654952,892.879282342302,293.028427048414,3.68594256726376
"-","refclim","BIOECONOMY","w6",3.15442068784677,0.769430745563841,197.055432525387,50.766724587723,5.89519448113576,16319.1436917976,301789.059653021,1.45950258522202,1.30844389854896,7.62396419598806,891.072478843406,288.778418081709,3.65366995485943
