"rcp","model","mgm","windcase","nat.mortality.volperha","impact","NEP","standing.volume.decidious","BA.decidious","deadwood.c.ag","carbonstock","shannon_BA_landscape","shannon_VOL_landscape","annual.harvest","annual.increment","standing.volume","LAI"
"-","refclim","ADAPTATION","w5",0.614904452507425,0.345860177496384,0.30609718271435,0.604830877050804,0.721200071470254,0.663270037334164,0.785145289778104,1,1,0.997789281766439,0.98786875513648,0.607007571839726,0.739770375320875
"-","refclim","ADAPTATION","w6",0.637034289631872,0.397703123029474,0.336259258293448,0.596951016936133,0.71464004074012,0.613424013398591,0.792400407812859,1,1,1,0.990047367979661,0.629501339884349,0.758823067068773
"-","refclim","ADAPTATION","w7",0.621657042788406,0.350089820706973,0.326235433992573,0.60265571543702,0.72098673433908,0.633812563348837,0.7846075564192,1,1,0.993627102066618,0.987535930021869,0.612269183428358,0.746115009520122
"-","refclim","ADAPTATION","w8",0.622636320875554,0.401895851753641,0.330942929617995,0.575909597853121,0.689340757203349,0.663102307117993,0.795944022318384,1,1,0.984747367882239,0.988381320214879,0.632996838334679,0.747849048966641
"-","refclim","ADAPTATION","w9",0.63494142171962,0.332719601241162,0.34543296877556,0.608788506013771,0.728687484113483,0.607873154005075,0.792367836821074,1,1,1,0.988165898487319,0.627601870598943,0.763144927516506
"-","refclim","BAU","w5",0.599237704789661,0.451199711690472,0.490510078320011,0.499941960572645,0.541080421696022,0.651718740915481,0.788967836484351,0.783525197501844,0.787933389550191,1,0.992576124680999,0.649933563936212,0.768806973464385
"-","refclim","BAU","w6",0.615149826077522,0.529284497400954,0.539772132287916,0.502555798023218,0.543890055783126,0.601746287906687,0.793478207575855,0.78882770549213,0.796165868874406,0.994396812605795,0.993147604014982,0.666676201242561,0.785005574325467
"-","refclim","BAU","w7",0.601228978296509,0.467268823874546,0.528795866023122,0.500419101590517,0.542798297149546,0.622305823123977,0.788592430699773,0.781276289639549,0.789184053078536,1,0.991500302694225,0.652327182108035,0.777913400347145
"-","refclim","BAU","w8",0.609670783688968,0.53188775308693,0.48972894743334,0.488227811459603,0.525949044103323,0.651663347513368,0.802946505778387,0.781926813363781,0.790258370685403,1,0.991144938963988,0.680537814965415,0.786850891315308
"-","refclim","BAU","w9",0.621088527327717,0.448589086128354,0.555081731273459,0.510734686751835,0.552814730178923,0.598439983523013,0.795420526404369,0.788017189235471,0.795477615352917,0.99788168015069,0.991311941619415,0.668620498541388,0.792074552147832
"-","refclim","BIOECONOMY","w5",0.607503104803478,0.208862091053915,0.516230336288082,0.478410768757516,0.557519647026776,0.63102149872717,0.7823994429831,0.75919691444242,0.760033884646649,0.980750528945771,1,0.618797787275094,0.811070166309002
"-","refclim","BIOECONOMY","w6",0.636984470008473,0.299272050033295,0.579521278241612,0.483024151700006,0.565207431312846,0.58553651236214,0.791798415359895,0.764489586086697,0.765991915030691,0.974292822060579,1,0.64469635836879,0.834305713939187
"-","refclim","BIOECONOMY","w7",0.612199303126066,0.255244672116076,0.584917198899747,0.465853309880715,0.548658616898518,0.602275223733599,0.783341537053829,0.749867992237534,0.748814312200643,0.981634869998169,1,0.626349600278898,0.821770811981497
"-","refclim","BIOECONOMY","w8",0.614037374133805,0.365990150868777,0.510652718784283,0.456473035067133,0.534337952217788,0.629666823773881,0.793093456134704,0.763446891451861,0.764171980251575,0.971108626199182,1,0.646109821482705,0.818261316635226
"-","refclim","BIOECONOMY","w9",0.638124003620571,0.231526409351152,0.610907311841068,0.483048994161735,0.566870350051239,0.582381971795469,0.791899634657905,0.762356156722299,0.762220641691658,0.98381941420853,1,0.644091661639939,0.83724762329868
"-","refclim","CONSERVATION","w5",0.720328121973258,0.863976891320974,0.459851367087737,0.810871046613402,0.854632486522975,0.79347002810037,0.863901433550619,0.930073623607416,0.93748937223516,0.714367178203445,0.955516472174595,0.759612428684486,0.814261785699819
"-","refclim","CONSERVATION","w6",0.731536978901834,0.909263501382236,0.407635638627645,0.809250989697226,0.854472415752384,0.762902644481284,0.866961870702645,0.93890888186989,0.947715186799288,0.711157360482043,0.957503602562633,0.771952308005249,0.819618291231518
"-","refclim","CONSERVATION","w7",0.710392838210318,0.948568285397184,0.320998072873976,0.814460887229035,0.859492608702915,0.785761582943,0.859983825416568,0.939734302247081,0.949754391170606,0.714458231755949,0.954222962799353,0.753461749740217,0.806499749989761
"-","refclim","CONSERVATION","w8",0.721632678162542,0.88940383793626,0.440221977833727,0.799386483817696,0.84196104092752,0.792893867721124,0.872520829573358,0.950692799831676,0.963192361596864,0.715546632285569,0.956338628641136,0.779056793626466,0.821092236606832
"-","refclim","CONSERVATION","w9",0.723938955939214,0.790258889308901,0.456354636303607,0.820190587781,0.865616066386404,0.75346640664686,0.863913885213818,0.942096947595606,0.951498365592404,0.707848711966032,0.956363130932723,0.764517998716957,0.821769298466474
"-","refclim","UNMANAGED","w5",1,1,1,1,1,1,1,0.899602422003031,0.914464585506534,0,0.889510327267876,1,1
"-","refclim","UNMANAGED","w6",1,1,1,1,1,1,1,0.916696247880569,0.937617735876469,0,0.890921115122614,1,1
"-","refclim","UNMANAGED","w7",1,1,1,1,1,1,1,0.902322565657733,0.91872335636011,0,0.886756001319903,1,1
"-","refclim","UNMANAGED","w8",1,1,1,1,1,1,1,0.936179132737215,0.961264993475466,0,0.894066274845214,1,1
"-","refclim","UNMANAGED","w9",1,1,1,1,1,1,1,0.909091489652538,0.926595414042644,0,0.889769249265775,1,1
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w5",0.680978175576106,0.370065144292997,0.474055537729527,0.641571599036387,0.759842824129383,0.611376201538782,0.799590954672197,1,1,0.973717795034731,0.995335888331247,0.642669881758756,0.777992589108745
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w6",0.694013362066414,0.426443108753291,0.507458064154976,0.649321374237799,0.76801539271898,0.593444977742982,0.802114537850908,1,1,0.981941414453323,0.995463295483199,0.65004861065337,0.786055617079012
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w7",0.70505163928841,0.320485466751895,0.560739301959721,0.645280075665897,0.762920341088761,0.56703637885558,0.803612028297742,1,1,0.969558384548564,0.994198012383274,0.658449545871387,0.798651386506664
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w8",0.670346544919831,0.501585103300707,0.407814754146135,0.619347453829294,0.730208325759225,0.631515817797296,0.807998596237401,1,1,0.966789608549419,0.995507776652458,0.662631815853098,0.777646892217085
"rcp45","EC-EARTH_RACMO22E-r1","ADAPTATION","w9",0.722952185106902,0.348142144715369,0.703806620722874,0.660042161376252,0.781379482962812,0.542325078819631,0.809110345050228,1,1,0.960819886398786,0.99679093565582,0.6742794028536,0.812643032683431
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w5",0.652184908814492,0.534553026215601,0.610890288506846,0.546070174834025,0.587272932375662,0.592952372563267,0.800095754761806,0.837537768243168,0.845793930744496,1,0.998233360843557,0.685578182917605,0.801972705549039
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w6",0.670942720589554,0.567183306921448,0.614606186587602,0.552526440611217,0.593015582416299,0.578047216267877,0.802324528186406,0.837187432721199,0.844417308037946,1,0.997424627083103,0.691774056613283,0.808032641251437
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w7",0.683129913407332,0.505679471202634,0.644933726498746,0.549938254971588,0.591144196082545,0.553032284197567,0.803740953068301,0.841391523947269,0.846801504130036,1,0.997935359756789,0.702774033506198,0.817223844167661
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w8",0.638850026743083,0.747202839835309,0.475147855063451,0.538360083321559,0.573340391628644,0.615863328154146,0.807595524231793,0.846513563668517,0.85408519719883,1,0.997182437965599,0.704597035322378,0.796918259751909
"rcp45","EC-EARTH_RACMO22E-r1","BAU","w9",0.685031377197477,0.523571025841211,0.743564012044077,0.565353148643046,0.606439676794652,0.52911557529581,0.805152689300263,0.84590711476735,0.854407682344241,1,0.998013485127341,0.708439652502997,0.82628405878433
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w5",0.671504840230132,0.292543541671193,0.66559503424898,0.538357889752558,0.621683551364981,0.576614886941605,0.792918118600801,0.818867969405637,0.8299859038934,0.954611392222021,1,0.650394682335351,0.842194480929131
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w6",0.689095895792504,0.372521061358188,0.727150380977539,0.55181336611044,0.634612761248788,0.563187648388621,0.797249392375188,0.821571153926919,0.834258474122688,0.957959932323561,1,0.659550787528386,0.852797710935139
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w7",0.703451710341329,0.309791154380858,0.813330573976196,0.540730678421804,0.624162349399734,0.537545210346668,0.797484499211939,0.820952371662838,0.830287510176909,0.957256793094692,1,0.668792689066296,0.862706311327745
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w8",0.65978594681489,0.58065811686697,0.581988893970915,0.528177909700721,0.605883015444262,0.601265677953494,0.80214081827799,0.82324778337904,0.833810981082699,0.941097714361632,1,0.670149694546969,0.841907418562707
"rcp45","EC-EARTH_RACMO22E-r1","BIOECONOMY","w9",0.711231601243787,0.306957072963274,0.937940209174786,0.558436404368645,0.641492733643704,0.512239009502927,0.804362630179356,0.818372285259229,0.830255081154169,0.963540857545992,1,0.684584554731752,0.88101253207087
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w5",0.762689857559067,0.835365470477115,0.542033443017501,0.843856888924328,0.894757919491702,0.759415870122642,0.874819241598202,0.960017897532973,0.964758521414558,0.706962514136698,0.965785969136252,0.784389929995503,0.84159779156805
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w6",0.763349696905712,0.854479523920413,0.477893181381774,0.851121056020227,0.898977234865767,0.75238741982932,0.872106775252775,0.962318017883439,0.965568321191374,0.713969273840188,0.965153091750535,0.780451850827381,0.836029433564822
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w7",0.769897399557477,0.822029135606593,0.431133717392994,0.849086376333503,0.895840041481563,0.727571600502998,0.87610375105169,0.964253577959588,0.968937380106533,0.722302244612862,0.964615515732929,0.79515814034162,0.847229614923799
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w8",0.754927787780012,0.880514532750257,0.5151080727369,0.840043796830152,0.888615448331026,0.772570227084507,0.880583296963931,0.977932643141606,0.984740648281834,0.691239253258673,0.966170611889232,0.797734932279248,0.840508225828988
"rcp45","EC-EARTH_RACMO22E-r1","CONSERVATION","w9",0.765247153027916,0.801970878661469,0.467191085708975,0.862420227605022,0.911943150839171,0.713886777144257,0.872380174357723,0.970738051906471,0.975084245627628,0.709996433503367,0.967270289344698,0.788231104727322,0.84489532006134
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w5",1,1,1,1,1,1,1,0.935325814236197,0.943379151885972,0,0.903262522103475,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w6",1,1,1,1,1,1,1,0.931621958295149,0.937929498289428,0,0.902606423109373,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w7",1,1,1,1,1,1,1,0.944526262134783,0.953751308546216,0,0.900254541194895,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w8",1,1,1,1,1,1,1,0.962656153899351,0.976126997740723,0,0.907779324482522,1,1
"rcp45","EC-EARTH_RACMO22E-r1","UNMANAGED","w9",1,1,1,1,1,1,1,0.940385240435895,0.948977005456004,0,0.902924148600693,1,1
"rcp45","HadGEM2_CCLM","ADAPTATION","w5",0.699704555046937,0.432162587584655,0.523892580263561,0.617050374546031,0.735192184758611,0.593677032329354,0.829386684581062,1,1,0.937653058956305,0.997449071549099,0.683789614759715,0.815503539908664
"rcp45","HadGEM2_CCLM","ADAPTATION","w6",0.749606700637637,0.515151578518818,0.576146694165859,0.644400790013968,0.763552484547348,0.555591057618667,0.830556999620308,1,0.995647302099267,0.90702035868332,0.997520280921745,0.697013867308366,0.827708504774997
"rcp45","HadGEM2_CCLM","ADAPTATION","w7",0.726819684083529,0.318579757177795,0.603295014500409,0.628395818386766,0.748503065354046,0.558910378941826,0.827433660798837,1,1,0.928214313175273,0.994952271108513,0.691427159428027,0.825380547940283
"rcp45","HadGEM2_CCLM","ADAPTATION","w8",0.670167308814852,0.619924091177702,0.392702191042065,0.615811395343895,0.72949796524385,0.622069257264836,0.832281457765158,1,1,0.937782050529164,0.99555024232867,0.690269123660996,0.805531892103199
"rcp45","HadGEM2_CCLM","ADAPTATION","w9",0.757302258985735,0.451778495007904,0.657250376924362,0.627283668560194,0.745203975241331,0.549660005203508,0.83632011848933,1,0.995800131915498,0.933215235595221,0.997942822331833,0.713525496382395,0.840268600859959
"rcp45","HadGEM2_CCLM","BAU","w5",0.645301134180886,0.629479764111061,0.538652110697019,0.553723002013827,0.591951020696355,0.579631806305379,0.828104273576763,0.869541611198372,0.879761818352298,1,0.996908793991052,0.727455420172407,0.834015577158034
"rcp45","HadGEM2_CCLM","BAU","w6",0.682932801188031,0.648059527533636,0.369165817682796,0.558748454834187,0.598359917769576,0.542118333550934,0.823432556065251,0.873891998284958,0.878130008274077,1,0.997261115702729,0.727314572719636,0.835719813100303
